Question,Option A,Option B,Option C,Option D,Answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,Mars
Who wrote 'Romeo and Juliet'?,William Shakespeare,Charles Dickens,J.K. Rowling,Mark Twain,William Shakespeare
What is the largest mammal?,Elephant,Blue Whale,Giraffe,Hippopotamus,Blue Whale
Which element has the chemical symbol 'O'?,Gold,Oxygen,Osmium,Iron,Oxygen
Sample Question 6?,Option A,Option B,Option C,Option D,Option A
Sample Question 7?,Option A,Option B,Option C,Option D,Option A
Sample Question 8?,Option A,Option B,Option C,Option D,Option A
Sample Question 9?,Option A,Option B,Option C,Option D,Option A
Sample Question 10?,Option A,Option B,Option C,Option D,Option A
Sample Question 11?,Option A,Option B,Option C,Option D,Option A
Sample Question 12?,Option A,Option B,Option C,Option D,Option A
Sample Question 13?,Option A,Option B,Option C,Option D,Option A
Sample Question 14?,Option A,Option B,Option C,Option D,Option A
Sample Question 15?,Option A,Option B,Option C,Option D,Option A
Sample Question 16?,Option A,Option B,Option C,Option D,Option A
Sample Question 17?,Option A,Option B,Option C,Option D,Option A
Sample Question 18?,Option A,Option B,Option C,Option D,Option A
Sample Question 19?,Option A,Option B,Option C,Option D,Option A
Sample Question 20?,Option A,Option B,Option C,Option D,Option A
Sample Question 21?,Option A,Option B,Option C,Option D,Option A
Sample Question 22?,Option A,Option B,Option C,Option D,Option A
Sample Question 23?,Option A,Option B,Option C,Option D,Option A
Sample Question 24?,Option A,Option B,Option C,Option D,Option A
Sample Question 25?,Option A,Option B,Option C,Option D,Option A
Sample Question 26?,Option A,Option B,Option C,Option D,Option A
Sample Question 27?,Option A,Option B,Option C,Option D,Option A
Sample Question 28?,Option A,Option B,Option C,Option D,Option A
Sample Question 29?,Option A,Option B,Option C,Option D,Option A
Sample Question 30?,Option A,Option B,Option C,Option D,Option A
Sample Question 31?,Option A,Option B,Option C,Option D,Option A
Sample Question 32?,Option A,Option B,Option C,Option D,Option A
Sample Question 33?,Option A,Option B,Option C,Option D,Option A
Sample Question 34?,Option A,Option B,Option C,Option D,Option A
Sample Question 35?,Option A,Option B,Option C,Option D,Option A
Sample Question 36?,Option A,Option B,Option C,Option D,Option A
Sample Question 37?,Option A,Option B,Option C,Option D,Option A
Sample Question 38?,Option A,Option B,Option C,Option D,Option A
Sample Question 39?,Option A,Option B,Option C,Option D,Option A
Sample Question 40?,Option A,Option B,Option C,Option D,Option A
Sample Question 41?,Option A,Option B,Option C,Option D,Option A
Sample Question 42?,Option A,Option B,Option C,Option D,Option A
Sample Question 43?,Option A,Option B,Option C,Option D,Option A
Sample Question 44?,Option A,Option B,Option C,Option D,Option A
Sample Question 45?,Option A,Option B,Option C,Option D,Option A
Sample Question 46?,Option A,Option B,Option C,Option D,Option A
Sample Question 47?,Option A,Option B,Option C,Option D,Option A
Sample Question 48?,Option A,Option B,Option C,Option D,Option A
Sample Question 49?,Option A,Option B,Option C,Option D,Option A
Sample Question 50?,Option A,Option B,Option C,Option D,Option A
Sample Question 51?,Option A,Option B,Option C,Option D,Option A
Sample Question 52?,Option A,Option B,Option C,Option D,Option A
Sample Question 53?,Option A,Option B,Option C,Option D,Option A
Sample Question 54?,Option A,Option B,Option C,Option D,Option A
Sample Question 55?,Option A,Option B,Option C,Option D,Option A
Sample Question 56?,Option A,Option B,Option C,Option D,Option A
Sample Question 57?,Option A,Option B,Option C,Option D,Option A
Sample Question 58?,Option A,Option B,Option C,Option D,Option A
Sample Question 59?,Option A,Option B,Option C,Option D,Option A
Sample Question 60?,Option A,Option B,Option C,Option D,Option A
Sample Question 61?,Option A,Option B,Option C,Option D,Option A
Sample Question 62?,Option A,Option B,Option C,Option D,Option A
Sample Question 63?,Option A,Option B,Option C,Option D,Option A
Sample Question 64?,Option A,Option B,Option C,Option D,Option A
Sample Question 65?,Option A,Option B,Option C,Option D,Option A
Sample Question 66?,Option A,Option B,Option C,Option D,Option A
Sample Question 67?,Option A,Option B,Option C,Option D,Option A
Sample Question 68?,Option A,Option B,Option C,Option D,Option A
Sample Question 69?,Option A,Option B,Option C,Option D,Option A
Sample Question 70?,Option A,Option B,Option C,Option D,Option A
Sample Question 71?,Option A,Option B,Option C,Option D,Option A
Sample Question 72?,Option A,Option B,Option C,Option D,Option A
Sample Question 73?,Option A,Option B,Option C,Option D,Option A
Sample Question 74?,Option A,Option B,Option C,Option D,Option A
Sample Question 75?,Option A,Option B,Option C,Option D,Option A
Sample Question 76?,Option A,Option B,Option C,Option D,Option A
Sample Question 77?,Option A,Option B,Option C,Option D,Option A
Sample Question 78?,Option A,Option B,Option C,Option D,Option A
Sample Question 79?,Option A,Option B,Option C,Option D,Option A
Sample Question 80?,Option A,Option B,Option C,Option D,Option A
Sample Question 81?,Option A,Option B,Option C,Option D,Option A
Sample Question 82?,Option A,Option B,Option C,Option D,Option A
Sample Question 83?,Option A,Option B,Option C,Option D,Option A
Sample Question 84?,Option A,Option B,Option C,Option D,Option A
Sample Question 85?,Option A,Option B,Option C,Option D,Option A
Sample Question 86?,Option A,Option B,Option C,Option D,Option A
Sample Question 87?,Option A,Option B,Option C,Option D,Option A
Sample Question 88?,Option A,Option B,Option C,Option D,Option A
Sample Question 89?,Option A,Option B,Option C,Option D,Option A
Sample Question 90?,Option A,Option B,Option C,Option D,Option A
Sample Question 91?,Option A,Option B,Option C,Option D,Option A
Sample Question 92?,Option A,Option B,Option C,Option D,Option A
Sample Question 93?,Option A,Option B,Option C,Option D,Option A
Sample Question 94?,Option A,Option B,Option C,Option D,Option A
Sample Question 95?,Option A,Option B,Option C,Option D,Option A
Sample Question 96?,Option A,Option B,Option C,Option D,Option A
Sample Question 97?,Option A,Option B,Option C,Option D,Option A
Sample Question 98?,Option A,Option B,Option C,Option D,Option A
Sample Question 99?,Option A,Option B,Option C,Option D,Option A
Sample Question 100?,Option A,Option B,Option C,Option D,Option A
Sample Question 101?,Option A,Option B,Option C,Option D,Option A
Sample Question 102?,Option A,Option B,Option C,Option D,Option A
Sample Question 103?,Option A,Option B,Option C,Option D,Option A
Sample Question 104?,Option A,Option B,Option C,Option D,Option A
Sample Question 105?,Option A,Option B,Option C,Option D,Option A
Sample Question 106?,Option A,Option B,Option C,Option D,Option A
Sample Question 107?,Option A,Option B,Option C,Option D,Option A
Sample Question 108?,Option A,Option B,Option C,Option D,Option A
Sample Question 109?,Option A,Option B,Option C,Option D,Option A
Sample Question 110?,Option A,Option B,Option C,Option D,Option A
Sample Question 111?,Option A,Option B,Option C,Option D,Option A
Sample Question 112?,Option A,Option B,Option C,Option D,Option A
Sample Question 113?,Option A,Option B,Option C,Option D,Option A
Sample Question 114?,Option A,Option B,Option C,Option D,Option A
Sample Question 115?,Option A,Option B,Option C,Option D,Option A
Sample Question 116?,Option A,Option B,Option C,Option D,Option A
Sample Question 117?,Option A,Option B,Option C,Option D,Option A
Sample Question 118?,Option A,Option B,Option C,Option D,Option A
Sample Question 119?,Option A,Option B,Option C,Option D,Option A
Sample Question 120?,Option A,Option B,Option C,Option D,Option A
Sample Question 121?,Option A,Option B,Option C,Option D,Option A
Sample Question 122?,Option A,Option B,Option C,Option D,Option A
Sample Question 123?,Option A,Option B,Option C,Option D,Option A
Sample Question 124?,Option A,Option B,Option C,Option D,Option A
Sample Question 125?,Option A,Option B,Option C,Option D,Option A
Sample Question 126?,Option A,Option B,Option C,Option D,Option A
Sample Question 127?,Option A,Option B,Option C,Option D,Option A
Sample Question 128?,Option A,Option B,Option C,Option D,Option A
Sample Question 129?,Option A,Option B,Option C,Option D,Option A
Sample Question 130?,Option A,Option B,Option C,Option D,Option A
Sample Question 131?,Option A,Option B,Option C,Option D,Option A
Sample Question 132?,Option A,Option B,Option C,Option D,Option A
Sample Question 133?,Option A,Option B,Option C,Option D,Option A
Sample Question 134?,Option A,Option B,Option C,Option D,Option A
Sample Question 135?,Option A,Option B,Option C,Option D,Option A
Sample Question 136?,Option A,Option B,Option C,Option D,Option A
Sample Question 137?,Option A,Option B,Option C,Option D,Option A
Sample Question 138?,Option A,Option B,Option C,Option D,Option A
Sample Question 139?,Option A,Option B,Option C,Option D,Option A
Sample Question 140?,Option A,Option B,Option C,Option D,Option A
Sample Question 141?,Option A,Option B,Option C,Option D,Option A
Sample Question 142?,Option A,Option B,Option C,Option D,Option A
Sample Question 143?,Option A,Option B,Option C,Option D,Option A
Sample Question 144?,Option A,Option B,Option C,Option D,Option A
Sample Question 145?,Option A,Option B,Option C,Option D,Option A
Sample Question 146?,Option A,Option B,Option C,Option D,Option A
Sample Question 147?,Option A,Option B,Option C,Option D,Option A
Sample Question 148?,Option A,Option B,Option C,Option D,Option A
Sample Question 149?,Option A,Option B,Option C,Option D,Option A
Sample Question 150?,Option A,Option B,Option C,Option D,Option A
Sample Question 151?,Option A,Option B,Option C,Option D,Option A
Sample Question 152?,Option A,Option B,Option C,Option D,Option A
Sample Question 153?,Option A,Option B,Option C,Option D,Option A
Sample Question 154?,Option A,Option B,Option C,Option D,Option A
Sample Question 155?,Option A,Option B,Option C,Option D,Option A
Sample Question 156?,Option A,Option B,Option C,Option D,Option A
Sample Question 157?,Option A,Option B,Option C,Option D,Option A
Sample Question 158?,Option A,Option B,Option C,Option D,Option A
Sample Question 159?,Option A,Option B,Option C,Option D,Option A
Sample Question 160?,Option A,Option B,Option C,Option D,Option A
Sample Question 161?,Option A,Option B,Option C,Option D,Option A
Sample Question 162?,Option A,Option B,Option C,Option D,Option A
Sample Question 163?,Option A,Option B,Option C,Option D,Option A
Sample Question 164?,Option A,Option B,Option C,Option D,Option A
Sample Question 165?,Option A,Option B,Option C,Option D,Option A
Sample Question 166?,Option A,Option B,Option C,Option D,Option A
Sample Question 167?,Option A,Option B,Option C,Option D,Option A
Sample Question 168?,Option A,Option B,Option C,Option D,Option A
Sample Question 169?,Option A,Option B,Option C,Option D,Option A
Sample Question 170?,Option A,Option B,Option C,Option D,Option A
Sample Question 171?,Option A,Option B,Option C,Option D,Option A
Sample Question 172?,Option A,Option B,Option C,Option D,Option A
Sample Question 173?,Option A,Option B,Option C,Option D,Option A
Sample Question 174?,Option A,Option B,Option C,Option D,Option A
Sample Question 175?,Option A,Option B,Option C,Option D,Option A
Sample Question 176?,Option A,Option B,Option C,Option D,Option A
Sample Question 177?,Option A,Option B,Option C,Option D,Option A
Sample Question 178?,Option A,Option B,Option C,Option D,Option A
Sample Question 179?,Option A,Option B,Option C,Option D,Option A
Sample Question 180?,Option A,Option B,Option C,Option D,Option A
Sample Question 181?,Option A,Option B,Option C,Option D,Option A
Sample Question 182?,Option A,Option B,Option C,Option D,Option A
Sample Question 183?,Option A,Option B,Option C,Option D,Option A
Sample Question 184?,Option A,Option B,Option C,Option D,Option A
Sample Question 185?,Option A,Option B,Option C,Option D,Option A
Sample Question 186?,Option A,Option B,Option C,Option D,Option A
Sample Question 187?,Option A,Option B,Option C,Option D,Option A
Sample Question 188?,Option A,Option B,Option C,Option D,Option A
Sample Question 189?,Option A,Option B,Option C,Option D,Option A
Sample Question 190?,Option A,Option B,Option C,Option D,Option A
Sample Question 191?,Option A,Option B,Option C,Option D,Option A
Sample Question 192?,Option A,Option B,Option C,Option D,Option A
Sample Question 193?,Option A,Option B,Option C,Option D,Option A
Sample Question 194?,Option A,Option B,Option C,Option D,Option A
Sample Question 195?,Option A,Option B,Option C,Option D,Option A
Sample Question 196?,Option A,Option B,Option C,Option D,Option A
Sample Question 197?,Option A,Option B,Option C,Option D,Option A
Sample Question 198?,Option A,Option B,Option C,Option D,Option A
Sample Question 199?,Option A,Option B,Option C,Option D,Option A
Sample Question 200?,Option A,Option B,Option C,Option D,Option A
